Time;UCWF;UCWDP;UCFDP;UCFMS;UCFMEP;UCAF;UCFMC;UCMVB;UCAH;UCFS;UCFVB;UCFMV;UCFMT;UCHC;UCHAH;UCHV;MVWF2;MVCV;MVDP;MVWF1;MVWF1.setting;MVSO;MVOT;CPPR;CPHE;CPMEP;CPCF;CPHP;CPMC;CPAH;CPMV;CPMT;CPSP;CPDP;UCSDP;AMBH;AMBT;UCAIH;UCAIT;UCAOH;UCAOT;UCWIT;UCWOT
1;0;6;81.56;1395;133;1237;1.08;1.87;62;1113;2.44;353;41.8;0.008;4;405.9;0;-0.05;0;1;1;0;0;36;0;4;0;-1;0.007;2.9;405;0;66;103;11.72;51;22.13;51.93;21.85;49.96;22.21;13.05;17.59
2;-2;6;99.63;1395;139;1367;1.05;1.18;62;1298;1.5;353;41.7;3.079;4;404.8;-2;-0.05;2;1;1;0;0;36;0;4;0;-1;0.008;2.9;404;0;66;103;14.65;51;22.13;51.93;21.85;49.96;22.18;13.05;17.55
3;-1;5;100.61;1395;121;1374;1.07;1.15;62;1419;1.46;353;41.7;3.076;4;404.8;-1;-0.05;1;1;1;0;0;36;0;4;0;-1;0.008;2.9;403.7;0;66;103;14.65;51;22.13;51.93;21.85;49.96;22.18;13.05;17.55
4;0;5;100.61;1395;128;1374;1.07;1.19;62;1418;1.56;353;41.7;3.076;4;404.8;0;-0.05;0;1;1;0;0;36;0;4;0;-1;0.008;2.9;403.6;0;66;103;14.65;51;22.13;51.93;21.85;49.96;22.21;13;17.55
5;0;5;100.61;1395;138;1374;1.06;1.19;62;1418;1.56;353;41.8;3.076;4;404.8;0;-0.05;0;1;1;0;0;36;0;4;0;-1;0.008;2.9;403.6;0;66;103;14.65;51;22.13;51.93;21.85;49.96;22.21;13;17.55
6;-1;7;101.59;1395;130;1381;1.05;1.46;62;1418;1.5;352;41.7;3.073;4;404.6;-1;-0.05;1;1;1;0;0;37;0;4;0;-1;0.007;2.9;403.5;0;65;103;14.16;51;22.13;51.93;21.85;49.96;22.18;13.05;17.55
7;-1;7;101.1;1395;129;1378;1.06;1.44;62;1418;1.45;353;41.7;3.071;4;404.7;-1;-0.05;1;1;1;0;0;36;0;4;0;-1;0.008;2.9;403.5;0;66;103;14.65;51;22.13;51.93;21.85;49.96;22.19;13.1;17.55
8;0;7;100.12;1395;133;1371;1.05;1.2;62;1418;1.67;353;41.7;3.071;4;404.7;0;-0.05;0;1;1;0;0;36;0;4;0;-1;0.008;2.9;403.5;0;66;103;14.16;51;22.13;51.93;21.85;49.96;22.22;13.1;17.64
9;-1;6;100.12;1395;129;1371;1.05;1.22;62;1422;1.52;353;41.8;3.071;4;404.7;-1;-0.05;1;1;1;0;0;36;0;4;0;-1;0.007;2.9;403.5;0;66;103;14.16;51;22.13;51.93;21.85;49.96;22.24;13.05;17.64
10;-2;7;98.17;1395;130;1357;1.06;1.32;62;1421;1.64;353;41.7;3.071;4;404.7;-2;-0.05;2;1;1;0;0;36;0;4;0;-1;0.007;2.9;403.5;0;66;103;14.16;51;22.13;51.93;21.85;49.96;22.24;13.1;17.64
11;-1;7;100.61;1395;127;1374;1.05;1.31;62;1421;1.51;352;41.7;3.071;4;404.5;-1;-0.05;1;1;1;0;0;37;0;4;0;-1;0.007;2.9;403.4;0;66;103;14.16;51;22.13;51.93;21.85;49.96;22.17;13.05;17.64
12;0;5;100.61;1395;131;1374;1.05;1.31;62;1421;1.63;353;41.7;3.074;4;404.3;0;-0.05;0;1;1;0;0;36;0;4;0;-1;0.008;2.9;403.4;0;66;103;15.14;51;22.13;51.93;21.85;49.96;22.22;13.1;17.64
13;0;5;101.1;1395;131;1378;1.06;1.38;62;1412;1.48;353;41.7;3.068;4;404.5;0;-0.05;0;1;1;0;0;36;0;4;0;-1;0.008;2.9;403.4;0;66;103;14.65;51;22.13;51.93;21.85;49.96;22.18;13.05;17.64
