Fecha;UCWF;UCWDP;UCFDP;UCFMS;UCFMEP;UCAF;UCFMC;UCMVB;UCAH;UCFS;UCFVB;UCFMV;UCFMT;UCHC;UCHAH;UCHV;MVWF2;MVCV;MVDP;MVWF1;MVWF1.setting;MVSO;MVOT;CPPR;CPHE;CPMEP;CPCF;CPHP;CPMC;CPAH;CPMV;CPMT;CPSP;CPDP;UCSDP;AMBH;AMBT;UCAIH;UCAIT;UCAOH;UCAOT;UCWIT;UCWOT
11/03/2021 14:58:22;1;9;7.02;0;0;363;0;0;1359;0;0;0;25.4;0.008;76;411.1;1;0;0;0;0;2;0;34;1;3;0;0;0.008;31.8;408.4;0;72;106;0;33;29.22;32.35;29.18;38.58;25.8;24.48;24.82
11/03/2021 14:58:23;1;7;7.02;69;10;363;1.85;0.02;1359;0;0.07;54;24.1;0.008;76;411.1;1;0;0;0;0;2;0;77;1;3;0;0;0.008;31.8;408.5;0;58;135;0;33;29.22;32.35;29.18;38.55;25.8;24.43;24.82
11/03/2021 14:58:24;2;3;7.36;295;29;372;2.33;0.45;1359;14;0.73;101;23.9;0.008;76;411.1;2;0;433;0;0;2;0;1695;1;295;0;0;0.008;31.8;408.5;0;-372;1323;0;33;29.23;32.47;29.18;38.55;25.8;24.48;24.82
11/03/2021 14:58:25;2;10;9.7;519;48;427;1.5;0.1;1359;151;0.54;150;24.1;0.008;76;411.1;2;0;591;0;0;2;0;1685;1;295;0;0;0.835;31.8;408.5;0;-257;1428;0;33;29.23;32.47;29.18;38.55;25.8;24.58;24.82
11/03/2021 14:58:26;2;12;19.4;745;62;603;1.23;0.29;1359;310;0.63;200;24.1;0.008;76;411.1;2;0;723;3;0;2;0;1675;1;421;0;0;0.96;31.8;408.5;0;-269;1406;2.93;33;29.22;32.47;29.18;38.53;25.8;24.53;24.92
11/03/2021 14:58:27;2;11;26.43;969;91;704;1.14;0.75;1359;464;0.7;253;24.3;0.008;76;411.1;2;0;743;1;0;2;0;1669;1;421;0;0;0.959;31.8;408.3;0;-271;1398;4.88;33;29.23;32.47;29.18;38.53;25.82;24.63;24.97
11/03/2021 14:58:28;2;9;43.49;1149;111;903;1.1;1.65;1359;627;0.84;296;24.3;0.008;76;411.1;2;0;757;1;0;2;0;1671;1;421;0;0;0.958;31.8;408.4;0;-272;1399;9.28;33;29.23;32.47;29.18;38.48;25.8;24.77;25.12
11/03/2021 14:58:29;2;13;59.88;1419;145;1060;1.08;1.15;1359;780;1.62;363;24.3;0.008;76;411.1;2;0;758;1;0;2;0;1663;1;422;0;0;0.958;31.8;408.4;0;-268;1395;12.7;33;29.23;32.47;29.18;38.48;25.8;24.77;25.26
11/03/2021 14:58:30;133;13;89.99;1644;175;1300;1.09;1.54;1359;943;2.48;417;24.8;0.008;76;411.1;133;0.15;754;0;0;8;0;1661;1;422;0;6;0.959;31.8;408.4;0;-271;1390;19.05;33;29.23;32.47;29.18;38.38;25.83;24.73;25.46
11/03/2021 14:58:31;269;18;98.35;1674;160;1359;1.03;1.35;1359;1087;2.39;416;25;0.008;76;411.1;269;0.31;735;0;0;14;0;1656;3;422;0;12;0.959;31.8;408.4;0;-288;1367;20.51;33;29.23;32.47;29.18;38.28;25.78;24.68;25.56
