Fecha;UCWF;UCWDP;UCFDP;UCFMS;UCFMEP;UCAF;UCFMC;UCMVB;UCAH;UCFS;UCFVB;UCFMV;UCFMT;UCHC;UCHAH;UCHV;MVWF2;MVCV;MVDP;MVWF1;MVWF1.setting;MVSO;MVOT;CPPR;CPHE;CPMEP;CPCF;CPHP;CPMC;CPAH;CPMV;CPMT;CPSP;CPDP;UCSDP;AMBH;AMBT;UCAIH;UCAIT;UCAOH;UCAOT;UCWIT;UCWOT
12/03/2021 09:43:16;-40;5;70.92;1411;105;1154;1.04;0.92;1377;992;1.22;355;36.8;0.008;76;411.1;-40;-0.05;787;1;0;0;0;1593;0;435;0;-1;0.923;32.2;407.2;0;-240;1353;13.19;42;22;44.95;20.79;54.06;17.92;5.43;15.79
12/03/2021 09:43:17;-40;7;70.92;1599;145;1154;1.08;0.87;1377;992;1.13;406;36.8;0.008;76;411.1;-40;-0.05;788;1;0;0;0;1592;0;435;0;-1;0.923;32.2;407.4;0;-242;1351;13.19;42;22;44.95;20.77;54.03;17.96;5.48;15.79
12/03/2021 09:43:18;-40;7;116.08;1814;167;1476;0.93;1.38;1377;1135;2.59;414;37;0.008;76;411.1;-40;-0.05;785;1;0;0;0;1595;0;435;0;-1;0.921;32.2;406.2;0;-242;1353;21.98;42;22;44.95;20.77;54.03;17.92;5.43;15.84
12/03/2021 09:43:19;-40;6;119.09;1814;165;1495;0.87;1.39;1377;1135;2.79;414;37;0.008;76;411.1;-40;-0.05;785;1;0;0;0;1590;0;435;0;-1;0.921;32.2;406.2;0;-239;1351;22.47;42;22;44.95;20.77;54.03;17.92;5.48;15.79
12/03/2021 09:43:20;-40;6;118.42;1814;156;1491;0.87;1.21;1377;1252;2.17;414;36.9;0.008;76;411.1;-40;-0.05;782;1;0;0;0;1588;0;437;0;-1;0.923;32.2;406;0;-237;1351;22.47;42;22;44.95;20.77;54.03;17.92;5.48;15.79
12/03/2021 09:43:21;-40;5;121.77;1814;166;1512;0.88;1.22;1377;1252;2.36;413;37;0.008;76;411.1;-40;-0.05;784;1;0;0;0;1584;0;438;0;-1;0.922;32.2;406.1;0;-241;1343;21.98;42;22;44.95;20.77;54.03;17.92;5.43;15.84
12/03/2021 09:43:22;-40;6;117.75;1814;164;1487;0.87;1.24;1377;1261;2.19;414;36.9;0.008;76;411.1;-40;-0.05;779;1;0;0;0;1582;0;439;0;-1;0.924;32.2;405.8;0;-239;1342;21.98;42;22;44.95;20.79;54.06;17.87;5.48;15.84
12/03/2021 09:43:23;-40;7;119.09;1814;172;1495;0.88;1.21;1377;1260;2.23;413;36.9;0.008;76;411.1;-40;-0.05;779;1;0;0;0;1587;0;439;0;-1;0.924;32.2;405.8;0;-240;1347;22.47;42;22;44.95;20.77;54.03;17.91;5.48;15.84
12/03/2021 09:43:24;-40;8;117.08;1814;164;1482;0.88;1.21;1377;1260;2.42;413;36.8;0.008;76;411.1;-40;-0.05;781;1;0;0;0;1580;0;439;0;-1;0.919;32.2;406.4;0;-240;1341;21.98;42;22;44.95;20.79;54.06;17.91;5.43;15.84
12/03/2021 09:43:25;-40;7;118.09;1814;160;1489;0.88;1.23;1377;1260;2.42;414;36.8;0.008;76;411.1;-40;-0.05;781;1;0;0;0;1585;0;434;0;-1;0.919;32.2;406.4;0;-238;1347;21.98;42;22;44.95;20.77;54.03;17.96;5.48;15.84
12/03/2021 09:43:26;-40;7;115.74;1814;161;1474;0.87;1.25;1377;1273;2.21;413;36.8;0.008;76;411.1;-40;-0.05;781;1;0;0;0;1580;0;432;0;-1;0.921;32.2;406.1;0;-240;1340;22.47;42;22;44.95;20.69;54.06;17.91;5.43;15.84
12/03/2021 09:43:27;-40;8;117.42;1814;174;1485;0.88;1.26;1377;1273;2.3;414;36.8;0.008;76;411.1;-40;-0.05;778;1;0;0;0;1583;0;432;0;-1;0.921;32.2;406.2;0;-240;1343;22.47;42;22;44.95;20.7;54.06;17.9;5.48;15.84
12/03/2021 09:43:28;-40;8;120.43;1814;162;1503;0.88;1.25;1377;1261;2.32;414;36.8;0.008;76;411.1;-40;-0.05;777;1;0;0;0;1579;0;434;0;-1;0.923;32.2;406.2;0;-238;1341;21.98;42;22;44.95;20.69;54.03;17.92;5.43;15.84
12/03/2021 09:43:29;-40;7;118.42;1814;175;1491;0.88;1.25;1377;1262;2.37;412;36.8;0.008;76;411.1;-40;-0.05;777;1;0;0;0;1582;0;435;0;-1;0.923;32.2;406.2;0;-238;1343;21.49;42;22;44.95;20.7;54.03;17.96;5.43;15.84
12/03/2021 09:43:30;-40;6;115.41;1814;159;1472;0.88;1.25;1377;1262;2.46;414;36.9;0.008;76;411.1;-40;-0.05;777;1;0;0;0;1579;0;435;0;-1;0.924;32.2;406.7;0;-238;1341;21.98;42;22;44.95;20.69;54.08;17.93;5.48;15.84
12/03/2021 09:43:31;-40;6;116.08;1814;169;1476;0.88;1.25;1377;1262;2.44;413;36.9;0.008;76;411.1;-40;-0.05;777;1;0;0;0;1581;0;436;0;-1;0.924;32.2;406.6;0;-238;1343;21.98;42;22;44.95;20.7;54.06;17.96;5.43;15.79
12/03/2021 09:43:32;-41;9;118.09;1814;162;1489;0.88;1.21;1377;1255;2.18;413;36.8;0.008;76;411.1;-41;-0.05;773;1;0;0;0;1576;0;435;0;-1;0.922;32.2;406.8;0;-240;1336;22.95;42;22;44.95;20.69;54.06;17.91;5.48;15.84
