Fecha;UCWF;UCWDP;UCFDP;UCFMS;UCFMEP;UCAF;UCFMC;UCMVB;UCAH;UCFS;UCFVB;UCFMV;UCFMT;UCHC;UCHAH;UCHV;MVWF2;MVCV;MVDP;MVWF1;MVWF1.setting;MVSO;MVOT;CPPR;CPHE;CPMEP;CPCF;CPHP;CPMC;CPAH;CPMV;CPMT;CPSP;CPDP;UCSDP;AMBH;AMBT;UCAIH;UCAIT;UCAOH;UCAOT;UCWIT;UCWOT
15/03/2021 06:30:37;0;7;6.36;0;0;345;0;0;1383;0;0.01;0;21.8;0.008;77;411.1;0;0.1;1;1;0;6;0;25;0;2;0;0;0.007;32.7;402.1;0;68;94;0;38;20.8;39.55;19.8;36.43;21.56;19.5;19.26
15/03/2021 06:30:38;0;7;6.36;102;16;345;2.04;0;1383;0;0.03;58;20.2;0.008;77;411.1;0;0.1;1;1;0;6;0;26;0;2;0;0;0.007;32.7;402.1;0;69;95;0;38;20.81;39.55;19.8;36.45;21.53;19.5;19.26
15/03/2021 06:30:39;0;7;7.02;327;29;363;2.2;0.25;1383;37;0.13;107;20.5;0.008;77;411.1;0;0.1;1;1;0;6;0;27;0;2;0;0;0.007;32.7;401.8;0;69;95;0;38;20.81;39.55;19.8;36.45;21.58;19.5;19.26
15/03/2021 06:30:41;0;9;9.03;552;39;412;1.45;0.13;1383;191;0.2;156;20.6;0.008;77;411.1;0;0.1;1;1;0;6;0;27;0;2;0;0;0.007;32.7;401.8;0;68;95;0;38;20.81;39.55;19.8;36.45;21.52;19.5;19.26
15/03/2021 06:30:42;0;7;20.41;777;64;619;1.23;0.37;1383;350;0.37;208;20.8;0.008;77;411.1;0;0.1;1;1;0;6;0;26;0;2;0;0;0.008;32.7;401;0;69;95;0.98;38;20.8;39.55;19.8;36.45;21.49;19.5;19.26
15/03/2021 06:30:43;0;9;26.76;1002;92;709;1.15;0.65;1383;504;0.52;263;20.7;0.008;77;411.1;0;0.1;1;1;0;6;0;27;0;2;0;0;0.008;32.7;400.8;0;69;95;2.93;38;20.81;39.55;19.8;36.45;21.52;19.6;19.26
15/03/2021 06:30:44;0;9;50.51;1227;133;974;1.12;2.53;1383;667;1.07;316;20.9;0.008;77;411.1;0;0.1;1;1;0;6;0;26;0;2;0;0;0.007;32.7;401.1;0;69;95;8.3;38;20.81;39.55;19.8;36.45;21.52;19.5;19.26
15/03/2021 06:30:45;0;9;68.91;1395;145;1137;1.06;0.98;1383;959;1.64;352;21;0.008;77;411.1;0;0.1;1;1;0;6;0;25;0;2;0;0;0.007;32.7;400.9;0;69;95;12.7;38;20.8;39.55;19.8;36.4;21.57;19.5;19.26
15/03/2021 06:30:46;0;9;68.58;1395;138;1135;1.06;1.21;1383;968;1.58;353;20.9;0.008;77;411.1;0;0.1;1;1;0;6;0;25;0;2;0;0;0.007;32.7;400.9;0;69;95;12.21;38;20.81;39.55;19.8;36.36;21.53;19.5;19.26
15/03/2021 06:30:47;0;8;68.24;1395;146;1132;1.07;1.03;1383;977;1.45;353;21;0.008;77;411.1;0;0.1;1;1;0;6;0;26;0;2;0;0;0.007;32.7;400.9;0;68;95;12.21;38;20.81;39.55;19.8;36.23;21.51;19.5;19.26
15/03/2021 06:30:48;0;7;66.9;1395;144;1121;1.06;1.03;1383;969;1.52;353;21.1;0.008;77;411.1;0;0.1;1;1;0;6;0;25;0;2;0;0;0.007;32.7;400.9;0;69;95;12.21;38;20.81;39.55;19.8;36.21;21.51;19.5;19.26
15/03/2021 06:30:49;0;8;68.58;1395;140;1135;1.07;1.26;1383;976;1.39;353;21.1;0.008;77;411.1;0;0.1;1;1;0;6;0;25;0;2;0;0;0.007;32.7;401.1;0;69;95;12.21;38;20.81;39.48;19.8;36.09;21.53;19.5;19.26
15/03/2021 06:30:50;0;7;69.91;1395;143;1146;1.06;1.05;1383;978;1.55;352;21.2;0.008;77;411.1;0;0.1;1;1;0;6;0;25;0;2;0;0;0.007;32.7;401;0;68;95;12.21;38;20.81;39.48;19.8;36.04;21.52;19.5;19.26
15/03/2021 06:30:51;0;8;67.91;1395;148;1129;1.07;0.95;1383;978;1.45;352;21.2;0.008;77;411.1;0;0.1;1;1;0;6;0;25;0;2;0;0;0.007;32.7;401;0;69;95;12.21;38;20.81;39.48;19.8;35.92;21.52;19.5;19.26
15/03/2021 06:30:52;0;7;67.91;1395;136;1129;1.07;1.25;1383;969;1.43;351;21.3;0.008;77;411.1;0;0.1;1;1;0;6;0;25;0;2;0;0;0.007;32.7;401;0;69;95;12.21;38;20.81;39.48;19.8;35.89;21.52;19.5;19.26
15/03/2021 06:30:53;0;8;67.57;1395;146;1126;1.07;1.23;1383;976;1.47;351;21.3;0.008;77;411.1;0;0.1;1;1;0;6;0;25;0;2;0;0;0.008;32.7;401;0;69;95;12.21;38;20.8;39.48;19.8;35.79;21.57;19.5;19.26
15/03/2021 06:30:54;0;9;67.91;1395;137;1129;1.06;0.91;1383;968;1.43;351;21.3;0.008;77;411.1;0;0.1;1;1;0;6;0;25;0;2;0;0;0.008;32.7;401;0;69;95;12.21;38;20.81;39.48;19.8;35.77;21.52;19.5;19.26
