Fecha;UCWF;UCWDP;UCFDP;UCFMS;UCFMEP;UCAF;UCFMC;UCMVB;UCAH;UCFS;UCFVB;UCFMV;UCFMT;UCHC;UCHAH;UCHV;MVWF2;MVCV;MVDP;MVWF1;MVWF1.setting;MVSO;MVOT;CPPR;CPHE;CPMEP;CPCF;CPHP;CPMC;CPAH;CPMV;CPMT;CPSP;CPDP;UCSDP;AMBH;AMBT;UCAIH;UCAIT;UCAOH;UCAOT;UCWIT;UCWOT
15/03/2021 12:36:30;0;6;5.69;0;0;327;0;0;1387;0;0.01;0;34.3;0.008;79;411.1;0;0;1;1;0;2;0;27;0;4;0;0;0.008;32.8;409.8;0;67;95;0;48;19.2;50.66;18.47;58.99;16.25;9.58;14.52
15/03/2021 12:36:31;0;5;33.79;1116;98;796;1.11;0.32;1387;478;0.59;289;32.9;0.008;79;411.1;0;0;1;1;0;2;0;27;0;4;0;0;0.007;32.8;409.2;0;67;94;4.4;48;19.2;50.66;18.47;58.84;16.22;9.58;14.52
15/03/2021 12:36:32;0;5;60.88;1341;117;1069;1.09;1.4;1387;796;1.23;343;32.9;0.008;79;411.1;0;0;0;1;0;2;0;27;0;4;0;0;0.007;32.8;409.5;0;67;94;10.26;48;19.2;50.66;18.47;58.84;16.25;9.58;14.52
15/03/2021 12:36:33;0;5;60.88;1341;117;1069;1.08;1.4;1387;796;1.23;343;32.9;0.008;79;411.1;0;0;0;1;0;2;0;27;0;4;0;0;0.007;32.8;409.6;0;67;94;10.26;48;19.2;50.66;18.47;58.84;16.25;9.58;14.52
15/03/2021 12:36:34;0;5;72.93;1535;151;1170;1.08;1.3;1387;796;1.54;388;33.4;0.008;79;411.1;0;0;1;1;0;2;0;27;0;4;0;0;0.007;32.8;409.6;0;67;95;13.19;48;19.2;50.66;18.47;58.82;16.21;9.58;14.52
15/03/2021 12:36:35;0;5;83.96;1535;141;1255;1.05;1.35;1387;1074;2.18;386;33.3;0.008;79;411.1;0;0;1;1;0;2;0;27;0;4;0;0;0.008;32.8;409.6;0;67;95;15.14;48;19.2;50.66;18.47;58.77;16.27;9.58;14.52
15/03/2021 12:36:36;0;5;83.96;1535;141;1255;1.06;1.35;1387;1074;2.18;385;33.3;0.008;79;411.1;0;0;1;1;0;2;0;27;0;4;0;0;0.008;32.8;409.6;0;67;95;15.14;48;19.2;50.66;18.47;58.77;16.27;9.58;14.52
15/03/2021 12:36:37;0;4;86.31;1535;135;1273;1.05;1.47;1387;1067;2.2;385;33.4;0.008;79;411.1;0;0;0;1;0;2;0;26;0;4;0;0;0.007;32.8;409.2;0;67;95;15.14;49;19.2;50.66;18.47;58.77;16.27;9.58;14.52
15/03/2021 12:36:38;0;5;83.63;1535;133;1253;1.04;1.62;1387;1067;2.44;385;33.4;0.008;79;411.1;0;0;0;1;0;2;0;26;0;4;0;0;0.007;32.8;409.2;0;67;95;15.14;49;19.2;50.66;18.47;58.74;16.24;9.58;14.52
15/03/2021 12:36:39;0;6;84.97;1535;135;1263;1.04;1.66;1387;1067;2.41;385;33.3;0.008;79;411.1;0;0;2;1;0;2;0;26;0;4;0;0;0.007;32.8;409.4;0;67;95;15.14;49;19.2;50.66;18.47;58.74;16.31;9.58;14.52
15/03/2021 12:36:40;0;6;83.63;1535;133;1253;1.05;1.49;1387;1067;2.2;385;33.3;0.008;79;411.1;0;0;0;1;0;2;0;26;0;4;0;0;0.007;32.8;409.4;0;67;94;15.14;49;19.2;50.66;18.48;58.74;16.25;9.58;14.52
15/03/2021 12:36:42;0;6;83.63;1535;133;1253;1.05;1.49;1387;1067;2.2;385;33.3;0.008;79;411.1;0;0;1;1;0;2;0;26;0;4;0;0;0.007;32.8;409.4;0;67;94;15.14;49;19.2;50.66;18.48;58.74;16.25;9.58;14.52
15/03/2021 12:36:43;0;5;83.3;1535;121;1250;1.06;1.56;1387;1071;2.16;385;33.4;0.008;79;411.1;0;0;2;1;0;2;0;26;0;4;0;0;0.007;32.8;409.2;0;67;95;14.65;49;19.2;50.66;18.47;58.7;16.27;9.58;14.62
15/03/2021 12:36:44;0;5;83.3;1535;129;1250;1.06;1.64;1387;1071;2.3;386;33.4;0.008;79;411.1;0;0;2;1;0;2;0;27;0;4;0;0;0.007;32.8;409.2;0;67;95;15.14;49;19.2;50.66;18.47;58.72;16.29;9.58;14.62
15/03/2021 12:36:45;0;6;83.63;1535;124;1253;1.06;1.66;1387;1078;2.27;385;33.3;0.008;79;411.1;0;0;0;1;0;2;0;26;0;4;0;0;0.008;32.8;409.6;0;67;95;14.65;49;19.2;50.66;18.47;58.7;16.27;9.58;14.62
15/03/2021 12:36:46;0;6;83.63;1535;135;1253;1.04;1.51;1387;1078;2.18;385;33.3;0.008;79;411.1;0;0;1;1;0;2;0;26;0;4;0;0;0.008;32.8;409.6;0;67;95;14.65;49;19.2;50.66;18.47;58.7;16.29;9.58;14.62
15/03/2021 12:36:47;0;6;84.97;1535;121;1263;1.05;1.51;1387;1068;2.19;385;33.4;0.008;79;411.1;0;0;1;1;0;2;0;26;0;4;0;0;0.008;32.8;409.6;0;67;95;14.65;49;19.2;50.66;18.47;58.65;16.29;9.58;14.62
15/03/2021 12:36:48;0;6;84.97;1535;138;1263;1.04;1.61;1387;1068;2.27;385;33.4;0.008;79;411.1;0;0;1;1;0;2;0;26;0;4;0;0;0.008;32.8;409.6;0;67;94;14.65;49;19.2;50.66;18.48;58.65;16.29;9.58;14.62
15/03/2021 12:36:49;0;4;83.96;1535;129;1255;1.05;1.6;1387;1078;2.2;385;33.4;0.008;79;411.1;0;0;0;1;0;2;0;26;0;4;0;0;0.008;32.8;409.9;0;67;93;15.14;49;19.2;50.66;18.47;58.6;16.27;9.58;14.62
15/03/2021 12:36:50;0;6;83.96;1535;125;1255;1.06;1.6;1387;1078;2.06;385;33.3;0.008;79;411.1;0;0;1;1;0;2;0;26;0;4;0;0;0.007;32.8;409.5;0;67;93;15.14;49;19.2;50.66;18.47;58.6;16.31;9.58;14.57
15/03/2021 12:36:51;0;6;84.63;1535;138;1260;1.06;1.56;1387;1078;2.14;385;33.4;0.008;79;411.1;0;0;1;1;0;2;0;27;0;4;0;0;0.008;32.8;409.5;0;67;93;15.14;49;19.2;50.79;18.48;58.6;16.32;9.58;14.57
15/03/2021 12:36:52;0;5;83.63;1535;129;1253;1.06;1.52;1387;1078;2.16;385;33.4;0.008;79;411.1;0;0;1;1;0;2;0;27;0;4;0;0;0.008;32.8;409.5;0;67;93;14.65;49;19.2;50.79;18.48;58.6;16.3;9.58;14.57
15/03/2021 12:36:53;0;6;84.97;1535;136;1263;1.05;1.57;1387;1078;2.37;385;33.3;0.008;79;411.1;0;0;1;1;0;2;0;27;0;4;0;0;0.008;32.8;409.5;0;67;93;15.14;49;19.2;50.79;18.47;58.57;16.32;9.58;14.57
15/03/2021 12:36:54;0;6;84.97;1535;127;1263;1.04;1.59;1387;1078;2.33;385;33.4;0.008;79;411.1;0;0;1;1;0;2;0;26;0;4;0;0;0.007;32.8;409.3;0;67;93;14.65;49;19.2;50.79;18.47;58.57;16.33;9.58;14.57
15/03/2021 12:36:55;0;5;85.64;1535;129;1268;1.04;1.6;1387;1068;2.24;385;33.3;0.008;79;411.1;0;0;0;1;0;2;0;26;0;4;0;0;0.007;32.8;409.5;0;67;93;14.65;49;19.2;50.79;18.47;58.57;16.33;9.58;14.57
15/03/2021 12:36:56;0;5;83.63;1535;129;1253;1.04;1.55;1387;1068;2.11;385;33.4;0.008;79;411.1;0;0;0;1;0;2;0;27;0;4;0;0;0.007;32.8;409.5;0;67;93;14.65;49;19.2;50.79;18.47;58.55;16.32;9.58;14.57
